# Map of average order parameters calculated for atom type POPC-C22-32 of molecule type POPC.
# Calculated with 'gorder v0.4.0'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($-S_{CH}$)
@ zrange -1.0 0.5 0.25
$ type colorbar
$ colormap seismic_r
0.0000 0.0000 0.0663
0.0000 0.1000 0.0599
0.0000 0.2000 0.0890
0.0000 0.3000 0.0607
0.0000 0.4000 0.0851
0.0000 0.5000 0.0730
0.0000 0.6000 0.0635
0.0000 0.7000 0.0650
0.0000 0.8000 0.0823
0.0000 0.9000 0.1256
0.0000 1.0000 0.1154
0.0000 1.1000 0.0934
0.0000 1.2000 0.1210
0.0000 1.3000 0.1001
0.0000 1.4000 0.1145
0.0000 1.5000 0.0957
0.0000 1.6000 0.0672
0.0000 1.7000 0.1079
0.0000 1.8000 0.1066
0.0000 1.9000 0.0762
0.0000 2.0000 0.0708
0.0000 2.1000 0.0830
0.0000 2.2000 0.0875
0.0000 2.3000 0.0967
0.0000 2.4000 0.1021
0.0000 2.5000 0.0679
0.0000 2.6000 0.0795
0.0000 2.7000 0.0707
0.0000 2.8000 0.0735
0.0000 2.9000 0.0971
0.0000 3.0000 0.1094
0.0000 3.1000 0.0898
0.0000 3.2000 0.0972
0.0000 3.3000 0.0710
0.0000 3.4000 0.0855
0.0000 3.5000 0.0856
0.0000 3.6000 0.0715
0.0000 3.7000 0.0594
0.0000 3.8000 0.0716
0.0000 3.9000 0.0658
0.0000 4.0000 0.0782
0.0000 4.1000 0.0662
0.0000 4.2000 0.0707
0.0000 4.3000 0.0259
0.0000 4.4000 0.0888
0.0000 4.5000 0.0715
0.0000 4.6000 0.0901
0.0000 4.7000 0.0764
0.0000 4.8000 0.1214
0.0000 4.9000 0.1178
0.0000 5.0000 0.1354
0.0000 5.1000 0.1079
0.0000 5.2000 0.1056
0.0000 5.3000 0.0667
0.0000 5.4000 0.1143
0.0000 5.5000 0.0779
0.0000 5.6000 0.0853
0.0000 5.7000 0.0919
0.0000 5.8000 0.0930
0.0000 5.9000 0.0869
0.0000 6.0000 0.0894
0.0000 6.1000 0.0925
0.0000 6.2000 0.0797
0.0000 6.3000 0.0988
0.0000 6.4000 0.0728
0.0000 6.5000 0.0958
0.0000 6.6000 0.0831
0.0000 6.7000 0.0971
0.0000 6.8000 0.0801
0.0000 6.9000 0.1067
0.0000 7.0000 0.1267
0.0000 7.1000 0.0919
0.0000 7.2000 0.0923
0.0000 7.3000 0.0504
0.0000 7.4000 0.1002
0.0000 7.5000 0.0827
0.0000 7.6000 0.1103
0.0000 7.7000 0.1126
0.0000 7.8000 0.1224
0.0000 7.9000 0.0958
0.0000 8.0000 0.0933
0.0000 8.1000 0.0916
0.0000 8.2000 0.1475
0.0000 8.3000 0.1393
0.0000 8.4000 0.1397
