# Map of average order parameters calculated for bonds between atom types POPC-C2B-9 and POPC-C3B-10.
# Calculated with 'gorder v0.2.0-beta'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($S$)
@ zrange -0.5 1.0 0.25
$ type colorbar
$ colormap seismic_r
0.0000 0.0000 0.3859
0.0000 0.1000 0.4003
0.0000 0.2000 0.3133
0.0000 0.3000 0.3741
0.0000 0.4000 0.3821
0.0000 0.5000 0.4067
0.0000 0.6000 0.4368
0.0000 0.7000 0.3675
0.0000 0.8000 0.3971
0.0000 0.9000 0.3928
0.0000 1.0000 0.4193
0.0000 1.1000 0.4229
0.0000 1.2000 0.3955
0.0000 1.3000 0.3923
0.0000 1.4000 0.4357
0.0000 1.5000 0.4229
0.0000 1.6000 0.3994
0.0000 1.7000 0.4277
0.0000 1.8000 0.3950
0.0000 1.9000 0.3949
0.0000 2.0000 0.4115
0.0000 2.1000 0.4084
0.0000 2.2000 0.3886
0.0000 2.3000 0.4104
0.0000 2.4000 0.4078
0.0000 2.5000 0.4096
0.0000 2.6000 0.4100
0.0000 2.7000 0.3946
0.0000 2.8000 0.3969
0.0000 2.9000 0.3975
0.0000 3.0000 0.3986
0.0000 3.1000 0.4004
0.0000 3.2000 0.4095
0.0000 3.3000 0.4033
0.0000 3.4000 0.3931
0.0000 3.5000 0.4159
0.0000 3.6000 0.4056
0.0000 3.7000 0.3997
0.0000 3.8000 0.4021
0.0000 3.9000 0.3991
0.0000 4.0000 0.4008
0.0000 4.1000 0.3890
0.0000 4.2000 0.4057
0.0000 4.3000 0.4118
0.0000 4.4000 0.4073
0.0000 4.5000 0.4144
0.0000 4.6000 0.3943
0.0000 4.7000 0.4064
0.0000 4.8000 0.4154
0.0000 4.9000 0.4016
0.0000 5.0000 0.4117
0.0000 5.1000 0.4105
0.0000 5.2000 0.3924
0.0000 5.3000 0.3959
0.0000 5.4000 0.3983
0.0000 5.5000 0.4092
0.0000 5.6000 0.4147
0.0000 5.7000 0.4066
0.0000 5.8000 0.4076
0.0000 5.9000 0.4119
0.0000 6.0000 0.4113
0.0000 6.1000 0.3995
0.0000 6.2000 0.4154
0.0000 6.3000 0.4035
0.0000 6.4000 0.4047
0.0000 6.5000 0.4073
0.0000 6.6000 0.4022
0.0000 6.7000 0.4115
0.0000 6.8000 0.4082
0.0000 6.9000 0.4061
0.0000 7.0000 0.4135
0.0000 7.1000 0.4033
0.0000 7.2000 0.4047
0.0000 7.3000 0.4174
0.0000 7.4000 0.4196
0.0000 7.5000 0.4052
0.0000 7.6000 0.4212
0.0000 7.7000 0.4053
0.0000 7.8000 0.4068
0.0000 7.9000 0.4069
0.0000 8.0000 0.4151
0.0000 8.1000 0.4086
0.0000 8.2000 0.4021
0.0000 8.3000 0.4023
0.0000 8.4000 0.4121
0.0000 8.5000 0.4128
0.0000 8.6000 0.4006
